City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,noyabrsk,63.1994,75.4507,-7.68,82,53,11.19,RU,1679894724
303,lavrentiya,65.5833,-171.0,-5.66,86,34,6.76,RU,1679894961
304,hambantota,6.1241,81.1185,33.19,62,20,1.54,LK,1679894962
305,bithur,26.6333,80.2833,30.52,22,15,3.21,IN,1679894962
306,basco,20.4487,121.9702,24.16,80,85,10.23,PH,1679894963
307,kansanshi,-12.0951,26.4273,15.12,96,96,1.4,ZM,1679894963
308,tucano,-10.9631,-38.7867,22.28,94,59,1.53,BR,1679894917
309,faya,18.3851,42.4509,16.06,77,85,6.95,SA,1679894964
310,ikwiriri,-7.9562,38.9716,25.26,83,94,1.29,TZ,1679894965
311,durazno,-33.4131,-56.5006,12.29,92,0,2.7,UY,1679894965
312,lazaro cardenas,17.9583,-102.2,21.73,81,2,1.25,MX,1679894687
313,jiwani,25.05,61.7417,24.08,62,52,2.17,PK,1679894966
314,meulaboh,4.1363,96.1285,30.11,67,96,1.41,ID,1679894967
315,severo-kurilsk,50.6789,156.125,-0.19,92,100,7.01,RU,1679894967
316,mirpur mathelo,28.0227,69.5489,28.44,27,0,2.32,PK,1679894968
317,dekar,-21.5333,21.9333,20.29,72,30,1.3,BW,1679894968
318,bima,-8.4667,118.7167,29.39,79,57,1.68,ID,1679894969
319,kousseri,12.0769,15.0306,20.98,18,67,3.09,CM,1679894970
320,busayra,30.7376,35.6078,8.61,78,65,2.3,JO,1679894970
321,sadovoye,47.7764,44.5089,11.44,78,10,4.78,RU,1679894971
322,nanchang,28.6833,115.8833,14.04,68,100,0.56,CN,1679895041
323,sur,22.5667,59.5289,27.51,49,15,3.13,OM,1679894793
324,beira,-19.8436,34.8389,25.05,88,40,2.03,MZ,1679895042
325,kabinda,-6.1333,24.4833,19.76,94,100,1.67,CD,1679895043
326,dalvik,65.9702,-18.5286,-3.04,88,100,1.99,IS,1679895043
327,buala,-8.145,159.5921,29.21,74,71,2.15,SB,1679895044
328,homer,59.6425,-151.5483,1.94,58,0,2.06,US,1679895044
329,kamina,-8.7386,24.9906,17.96,99,100,1.42,CD,1679895044
330,nouakchott,18.0858,-15.9785,20.96,38,20,5.37,MR,1679895045
331,kaposvar,46.3667,17.8,7.09,92,100,5.94,HU,1679895045
332,mumford,5.2618,-0.759,26.99,81,100,3.07,GH,1679895046
333,galeana,24.8333,-100.0667,13.65,58,56,0.79,MX,1679895046
334,porto novo,6.4965,2.6036,23.9,82,97,1.63,BJ,1679895047
335,qui nhon,13.7667,109.2333,27.85,72,9,3.79,VN,1679894912
336,latung,5.5,120.8833,28.27,72,85,3.53,PH,1679895047
337,marienburg,54.0359,19.0266,2.71,80,89,2.8,PL,1679895048
338,pemangkat,1.1667,108.9667,28.93,71,47,4.68,ID,1679895048
339,ferrol,43.4832,-8.2369,8.18,89,13,2.51,ES,1679895049
340,tsiroanomandidy,-18.7667,46.0333,23.68,76,52,1.46,MG,1679895049
341,redcliffe,-27.2307,153.0973,30.79,61,75,5.66,AU,1679895050
342,todos santos,23.45,-110.2167,15.92,83,99,2.6,MX,1679895050
343,lyubuchany,55.2511,37.5456,3.49,96,100,2.7,RU,1679895051
344,elat,29.5581,34.9482,15.91,67,20,2.06,IL,1679895051
345,birao,10.2849,22.7882,26.96,21,30,5.6,CF,1679895051
346,broome,42.2506,-75.833,3.33,70,1,0.45,US,1679895052
347,zhaoqing,23.0512,112.4597,16.01,86,100,1.43,CN,1679895052
348,hualmay,-11.0964,-77.6139,23.79,82,85,3.55,PE,1679895053
349,puerto escondido,15.85,-97.0667,25.46,83,20,0.0,MX,1679895053
350,dryden,49.7833,-92.7503,-4.84,46,0,1.03,CA,1679895029
351,romny,50.751,33.4747,7.73,77,26,4.19,UA,1679895054
352,la ronge,55.1001,-105.2842,-22.86,70,0,0.0,CA,1679895055
353,lancut,50.0687,22.2291,7.53,97,100,2.06,PL,1679895055
354,sobolevo,54.4299,31.8996,4.17,94,75,3.84,RU,1679895056
355,yar-sale,66.8333,70.8333,-14.63,89,81,7.15,RU,1679895056
356,klaksvik,62.2266,-6.589,1.51,53,98,5.81,FO,1679895057
357,wanning,18.8003,110.3967,26.88,77,24,3.82,CN,1679895057
358,yambio,4.5721,28.3955,22.55,75,86,2.33,SS,1679895058
359,mazyr,52.0495,29.2456,5.88,85,41,2.93,BY,1679895058
360,antas,41.7364,-8.3089,3.34,58,76,2.61,PT,1679895058
361,alcains,39.9164,-7.4566,8.16,64,81,2.21,PT,1679895059
362,tilichiki,60.4667,166.1,-12.23,88,41,1.69,RU,1679895060
363,kargasok,59.0556,80.8572,3.67,91,100,6.58,RU,1679895060
